web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries
https://www.nytimes.com/2021/01/21/movies/atlantis-review-a-bleak-apocalypse-love-story.html,"Ukraine’s official Oscar entry, the movie depicts an all-too-convincing dystopia, with no fancy gadgets or cars.",The New York Times,"subject: Movies;creative_works: Atlantis (Movie);persons: Vasyanovych, Valentyn;",2021-01-21T12:00:06+0000,320,‘Atlantis’ Review: A Bleak Apocalypse Love Story,Critic’s Pick,,Atlantis,,,,By Glenn Kenny,,Atlantis,Atlantis,0,fr,,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",7.019,74,138,1991-08-21,6.22,44,"Music, Documentary",French,"France, Italy"
https://www.nytimes.com/2020/12/24/movies/review-your-name-engraved-herein.html,The filmmaker Patrick Liu keeps the focus on the two young men in this Taiwanese drama and blurs the rest.,The New York Times,"subject: Movies;glocations: Taiwan;persons: Liu, Patrick (Filmmaker);creative_works: Your Name Engraved Herein (Movie);",2020-12-24T12:00:06+0000,295,‘Your Name Engraved Herein’ Review: When Love Is All You Can See,,,Your Name Engraved Herein,,,,By Teo Bugbee,,Your Name Engraved Herein,刻在你心底的名字,0,zh,,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",19.493,114,0,2020-09-30,7.88,234,"Romance, Drama","Mandarin, English","Taiwan, United States of America"
https://www.nytimes.com/2020/12/17/movies/museum-town-review.html,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,The New York Times,"subject: Documentary Films and Programs;subject: Art;creative_works: Museum Town (Movie);persons: Trainer, Jennifer;organizations: Massachusetts Museum of Contemporary Art;subject: Museums;glocations: North Adams (Mass);",2020-12-17T15:49:52+0000,280,‘Museum Town’ Review: A Love Letter to Mass MoCA,,,Museum Town,,,,By Lovia Gyarkye,,Museum Town,Museum Town,0,en,https://www.museumtownmovie.com/,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,1.178,75,0,2019-03-10,0.0,0,Documentary,English,United States of America
https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"subject: Movies;persons: Shanley, John Patrick;persons: Blunt, Emily;persons: Dornan, Jamie;creative_works: Outside Mullingar (Play);creative_works: Wild Mountain Thyme (Movie);",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,,,Wild Mountain Thyme,,,,By Glenn Kenny,,Wild Mountain Thyme,Wild Mountain Thyme,0,en,,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",10.443,102,0,2020-12-11,5.197,147,"Romance, Drama",English,"Ireland, United Kingdom"
https://www.nytimes.com/2020/11/26/movies/my-psychedelic-love-story-review.html,"This Errol Morris documentary explores the relationship between the LSD guru and Joanna Harcourt-Smith, a woman who likened herself to Mata Hari.",The New York Times,"subject: Documentary Films and Programs;creative_works: My Psychedelic Love Story (Movie);persons: Harcourt-Smith, Joanna (1946-2020);persons: Morris, Errol;subject: LSD (Lysergic Acid Diethylamide);subject: Content Type: Personal Profile;",2020-11-26T12:00:05+0000,599,‘My Psychedelic Love Story’ Review: On the Run With Timothy Leary,Critic’s Pick,,Acid and Romance: On the Run With Timothy Leary,,,,By Glenn Kenny,,My Psychedelic Love Story,My Psychedelic Love Story,0,en,https://www.sho.com/titles/3497302/my-psychedelic-love-story,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.,1.265,107,0,2020-10-22,6.286,7,Documentary,English,United States of America
https://www.nytimes.com/2020/11/17/movies/69-saga-of-danny-hernadez-review.html,The rise and fall of the provocative rapper Tekashi69 is chronicled in this Hulu documentary.,The New York Times,"subject: Documentary Films and Programs;subject: Rap and Hip-Hop;persons: Gandhi, Vikram;persons: 6ix9ine (Rapper);creative_works: 69: The Saga of Danny Hernandez (Movie);",2020-11-17T19:07:20+0000,363,‘69: The Saga of Danny Hernandez’ Review: A SoundCloud-Rap Rat,,,"Loved in Hip-Hop, but Loathed in the End",,,,By Calum Marsh,,69: The Saga of Danny Hernandez,69: The Saga of Danny Hernandez,0,en,https://www.hulu.com/movie/69-the-saga-of-danny-hernandez-345025ec-5022-4cca-a5f7-d3870fce96b3,"Part investigative documentary, part real-life gangster movie, this film unpacks the life of polarizing rap sensation and internet troll Tekashi69, aka 69, while chronicling his meteoric rise and fall from fame.",0.991,101,0,2021-04-29,6.9,10,"Music, Documentary",English,United States of America
https://www.nytimes.com/2020/11/12/movies/ammonite-review.html,Kate Winslet’s fossil hunter and Saoirse Ronan’s convalescent embark on a forbidden seaside romance.,The New York Times,"subject: Movies;persons: Ronan, Saoirse;persons: Winslet, Kate;persons: Lee, Francis (1969- );creative_works: Ammonite (Movie);",2020-11-12T12:00:04+0000,510,‘Ammonite’ Review: Love on the Rocks,Critic’s Pick,,Love on the Rocks,,,,By Jeannette Catsoulis,,Ammonite,Ammonite,0,en,https://www.ammonite-movie.com,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",20.294,118,1396905,2020-11-13,7.044,515,"Romance, Drama",English,United Kingdom
https://www.nytimes.com/2020/10/15/movies/love-and-monsters-review.html,The new sci-fi adventure from Michael Matthews lacks the self-seriousness of typical dystopian flicks but doesn’t completely lack depth.,The New York Times,"persons: Matthews, Michael (Film Director);subject: Movies;creative_works: Love and Monsters (Movie);",2020-10-15T11:00:07+0000,284,‘Love and Monsters’ Review: Coming-of-Age After the Apocalypse,,,Love and Monsters,,,,By Lovia Gyarkye,,Love and Monsters,Love and Monsters,30000000,en,https://www.paramountmovies.com/movies/love-and-monsters,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",28.339,109,1122066,2020-10-16,7.33,3765,"Comedy, Action, Adventure, Science Fiction",English,United States of America
https://www.nytimes.com/2020/10/01/movies/dick-johnson-is-dead-review.html,"With the help of her father, the documentary filmmaker Kirsten Johnson made a surprising, endearing movie about his death.",The New York Times,"creative_works: Dick Johnson Is Dead (Movie);subject: Documentary Films and Programs;persons: Johnson, Kirsten (1965- );creative_works: Cameraperson (Movie);subject: Death and Dying;",2020-10-01T11:00:08+0000,816,"‘Dick Johnson Is Dead’ Review: A Father’s Painful, Funny Goodbye",Critic’s pick,,A Love Letter Delivered Along With a Death Notice,,,,By Manohla Dargis,,Dick Johnson Is Dead,Dick Johnson Is Dead,0,en,https://www.netflix.com/title/80234465,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",6.143,89,0,2020-01-23,7.244,121,Documentary,English,United States of America
https://www.nytimes.com/2020/09/03/movies/love-guaranteed-review-swiping-left-on-online-dating.html,Rachael Leigh Cook stars in this rom-com about a lawyer and her charming new client who wants to sue a dating website for falsely promising love.,The New York Times,"subject: Movies;persons: Cook, Rachael Leigh;persons: Wayans, Damon Jr;persons: Johnson, Mark Steven;creative_works: Love, Guaranteed (Movie);",2020-09-03T07:01:05+0000,343,"‘Love, Guaranteed’ Review: Swiping Left on Online Dating",,,"Love, Guaranteed",,,,By Natalia Winkelman,,"Love, Guaranteed","Love, Guaranteed",0,en,https://www.netflix.com/title/81076898,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,16.936,91,0,2020-09-02,6.419,614,"Romance, Comedy",English,United States of America
